0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	1
30	0
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	0
60	1
61	0
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	1
88	0
89	1
90	0
91	1
92	0
93	1
94	0
95	1
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	1
113	0
114	0
115	0
116	0
117	0
118	1
119	0
120	1
121	0
122	1
123	0
124	1
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	1
147	0
148	0
149	1
150	0
151	1
152	0
153	1
154	0
155	1
156	0
157	1
158	0
159	1
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	1
183	0
184	1
185	0
186	1
187	0
188	1
189	0
190	1
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	1
213	0
214	0
215	1
216	0
217	1
218	0
219	1
220	0
221	1
222	0
223	1
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	1
242	0
243	1
244	0
245	1
246	0
247	1
248	0
249	1
250	0
251	1
252	0
253	0
254	1
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	1
273	0
274	1
275	0
276	1
277	0
278	1
279	0
280	1
281	0
282	1
283	0
284	1
285	1
286	0
287	1
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	1
304	0
305	0
306	0
307	1
308	0
309	1
310	0
311	1
312	0
313	1
314	0
315	1
316	0
317	1
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	0
336	1
337	0
338	1
339	0
340	1
341	0
342	1
343	0
344	1
345	0
346	1
347	0
348	1
349	0
350	1
351	1
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	1
370	0
371	1
372	0
373	1
374	0
375	1
376	0
377	1
378	0
379	1
380	0
381	1
382	1
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	1
399	0
400	1
401	0
402	1
403	0
404	1
405	0
406	1
407	0
408	1
409	0
410	1
411	0
412	1
413	1
414	1
415	1
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	1
427	0
428	1
429	0
430	0
431	1
432	0
433	1
434	0
435	1
436	0
437	1
438	0
439	1
440	0
441	1
442	0
443	1
444	1
445	0
446	1
447	1
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	1
465	0
466	1
467	0
468	1
469	0
470	1
471	0
472	1
473	0
474	1
475	0
476	1
477	1
478	1
479	1
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	1
491	0
492	0
493	0
494	1
495	0
496	1
497	0
498	0
499	1
500	0
501	1
502	0
503	1
504	1
505	1
506	0
507	1
508	1
509	0
510	1
511	1
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	1
522	0
523	1
524	0
525	1
526	0
527	1
528	0
529	1
530	0
531	1
532	1
533	1
